season,games,completed,home_win_rate,avg_total_runs,avg_home_margin
2023,2430,2430,0.5209876543209877,9.231275720164609,-0.03868312757201646
2024,2430,2429,0.521613832853026,8.786743515850144,-0.03417044051049815
2025,2430,2430,0.5427983539094651,8.894650205761318,0.08477366255144032
2026,1114,1068,0.5290262172284644,8.965355805243446,0.006554307116104869
