feature,abs_loading,PC3
robust_home_elo_pre,0.09686565702502302,0.09686565702502302
home_team_team_run_diff_season_to_date,0.09647467168381464,0.09647467168381464
away_team_team_run_diff_season_to_date,0.0958340042984142,0.0958340042984142
away_team_ewm_run_diff_hl30,0.09564934257050808,0.09564934257050808
robust_away_elo_pre,0.09512843905866317,0.09512843905866317
away_team_ewm_run_diff_hl15,0.09287621736528497,0.09287621736528497
home_team_ewm_run_diff_hl15,0.09156104780184462,0.09156104780184462
home_team_ewm_run_diff_hl30,0.09140272063401968,0.09140272063401968
home_team_team_win_season_to_date,0.08971860324124875,0.08971860324124875
away_team_team_win_season_to_date,0.08947148248249541,0.08947148248249541
home_elo_pre,0.08843891368476099,0.08843891368476099
away_elo_pre,0.087105800170049,0.087105800170049
away_team_ewm_run_diff_hl60,0.0868546754165757,0.0868546754165757
away_team_team_runs_for_season_to_date,0.0838609854530392,0.0838609854530392
away_box_box_runs_for_season_to_date,0.0838609854530392,0.0838609854530392
away_box_box_box_bat_runs_season_to_date,0.08385549908482201,0.08385549908482201
away_box_box_box_bat_rbi_season_to_date,0.08375129512944685,0.08375129512944685
home_team_team_run_diff_last20,0.0834615597661056,0.0834615597661056
home_team_ewm_run_diff_hl60,0.0812586048655236,0.0812586048655236
away_team_team_run_diff_last20,0.08030909393237218,0.08030909393237218
