feature,abs_loading,PC2
diff_team_ewm_total_runs_hl15,0.12237736965563457,0.12237736965563457
diff_team_ewm_total_runs_hl30,0.11397636714236083,0.11397636714236083
diff_team_ewm_total_runs_hl60,0.10054403117401536,0.10054403117401536
diff_team_ewm_runs_for_hl30,0.09093555970697502,0.09093555970697502
diff_team_ewm_total_runs_hl120,0.08733389280610289,0.08733389280610289
diff_team_ewm_runs_for_hl15,0.08732195403854649,0.08732195403854649
diff_team_ewm_runs_for_hl60,0.0871431653500121,0.0871431653500121
away_team_ewm_total_runs_hl15,0.08546476373272749,-0.08546476373272749
diff_box_box_box_bat_ops_last10,0.08512446352379544,0.08512446352379544
diff_box_box_box_bat_slg_last10,0.08461256015276873,0.08461256015276873
diff_box_box_box_bat_avg_last20,0.08456194913655461,0.08456194913655461
diff_box_box_box_bat_avg_last10,0.0841502290050868,0.0841502290050868
diff_box_box_box_bat_ops_last5,0.08406179900885362,0.08406179900885362
diff_box_box_box_bat_ops_last20,0.08405058076846667,0.08405058076846667
diff_box_box_box_bat_slg_last5,0.08352796448391936,0.08352796448391936
diff_box_box_box_bat_slg_last20,0.08324424862367075,0.08324424862367075
away_team_ewm_total_runs_hl30,0.0824458290974405,-0.0824458290974405
diff_box_box_box_bat_avg_last5,0.08234448507268023,0.08234448507268023
diff_box_box_box_bat_ops_last3,0.08102489413504463,0.08102489413504463
diff_team_ewm_runs_against_hl15,0.08095592080918534,0.08095592080918534
