feature,abs_loading,PC5
diff_box_box_box_pitch_numberOfPitches_last5,0.13756975673981822,0.13756975673981822
diff_box_box_box_pitch_pitchesThrown_last5,0.13726640067012824,0.13726640067012824
diff_box_box_box_pitch_strikes_last5,0.13192075083985141,0.13192075083985141
diff_box_box_box_pitch_numberOfPitches_last10,0.13147173708368998,0.13147173708368998
diff_box_box_box_pitch_pitchesThrown_last10,0.131227564606408,0.131227564606408
diff_box_box_box_pitch_strikes_last10,0.12964834452370946,0.12964834452370946
diff_box_box_box_pitch_numberOfPitches_last3,0.11837792657374382,0.11837792657374382
diff_box_box_box_pitch_pitchesThrown_last3,0.11806411351597915,0.11806411351597915
diff_box_box_box_pitch_battersFaced_last5,0.11723103720994282,0.11723103720994282
diff_box_box_box_pitch_strikes_last3,0.11328075749336346,0.11328075749336346
diff_box_box_box_pitch_balls_last5,0.11163384058586484,0.11163384058586484
diff_box_box_box_pitch_strikes_last20,0.10875217687743474,0.10875217687743474
diff_box_box_box_pitch_battersFaced_last10,0.10846616317095308,0.10846616317095308
diff_box_box_box_pitch_numberOfPitches_last20,0.10506056360087423,0.10506056360087423
diff_box_box_box_pitch_pitchesThrown_last20,0.10500418495203383,0.10500418495203383
diff_box_box_box_pitch_balls_last10,0.10348492703599756,0.10348492703599756
diff_team_ewm_runs_against_hl120,0.10111923421505101,-0.10111923421505101
diff_team_ewm_runs_against_hl60,0.09914742448753247,-0.09914742448753247
diff_box_box_box_pitch_balls_last3,0.09733697004204044,0.09733697004204044
home_box_box_box_pitch_numberOfPitches_last5,0.09565596808840801,0.09565596808840801
