feature,abs_loading,PC1
diff_team_ewm_run_diff_hl15,0.08627384036557476,0.08627384036557476
diff_team_team_run_diff_season_to_date,0.08522205535895007,0.08522205535895007
diff_team_ewm_run_diff_hl30,0.08284449365403526,0.08284449365403526
robust_elo_home_win_prob,0.0811273374090607,0.0811273374090607
robust_diff_elo_home_adv,0.08103942344233828,0.08103942344233828
robust_diff_elo_pre,0.08103942344233817,0.08103942344233817
diff_team_team_win_season_to_date,0.08075077485089657,0.08075077485089657
diff_team_team_run_diff_last20,0.07999556792092676,0.07999556792092676
diff_team_team_runs_against_season_to_date,0.0775052800175831,-0.0775052800175831
diff_box_box_runs_against_season_to_date,0.0775052800175831,-0.0775052800175831
diff_box_box_box_pitch_runs_season_to_date,0.07748801698240956,-0.07748801698240956
diff_box_box_box_pitch_earnedRuns_season_to_date,0.07677498681616414,-0.07677498681616414
diff_box_box_box_pitch_rbi_season_to_date,0.07667916661621106,-0.07667916661621106
diff_box_box_box_pitch_obp_season_to_date,0.076515823841435,-0.076515823841435
diff_team_ewm_team_win_hl15,0.07513962623203284,0.07513962623203284
elo_home_win_prob,0.07496695895749704,0.07496695895749704
diff_elo_pre,0.07488671620630835,0.07488671620630835
diff_box_box_box_pitch_battersFaced_season_to_date,0.07380922976556958,-0.07380922976556958
diff_box_box_box_pitch_whip_last5,0.07229269964951489,-0.07229269964951489
diff_box_box_box_pitch_whip_last3,0.07228050696105073,-0.07228050696105073
