model_name,feature_set,estimator,feature_count,mae,rmse,r2,avg_pred,actual_mean,n
robust_elo_only__hist_gbdt_squared_error,robust_elo_only,hist_gbdt_squared_error,6,3.5852217488825566,4.544423918768103,-0.001224805945250429,0.022385433165969706,0.03827751196172249,1672
robust_elo_only__random_forest,robust_elo_only,random_forest,6,3.599650311415397,4.563012192241184,-0.00943227234659294,-0.004741624167074866,0.03827751196172249,1672
statcast_team_plus_pitchmix__ridge_l2,statcast_team_plus_pitchmix,ridge_l2,658,3.6231880464171895,4.6212313176785385,-0.03535513711132099,-0.044554333570008146,0.03827751196172249,1672
starter_plus_team__ridge_l2,starter_plus_team,ridge_l2,422,3.6239440965562,4.596594535177362,-0.024345160017350764,-0.03381159052060271,0.03827751196172249,1672
accuracy_core_no_box__ridge_l2,accuracy_core_no_box,ridge_l2,949,3.683625654365254,4.700453527805609,-0.07115779733459782,-0.042846840482416056,0.03827751196172249,1672
full_non_market__ridge_l2,full_non_market,ridge_l2,1987,3.9208059794882035,4.960591505640157,-0.19300113676093544,0.2197738371800975,0.03827751196172249,1672
all_clean__ridge_l2,all_clean,ridge_l2,2032,3.923009424482481,4.958827599446331,-0.19215286374472051,0.2230448778399594,0.03827751196172249,1672
all_clean__extra_trees_accuracy,all_clean,extra_trees_accuracy,2032,5.480263157894737,6.801218930998209,-1.2425773783147318,0.031698564593301434,0.03827751196172249,1672
full_non_market__extra_trees_accuracy,full_non_market,extra_trees_accuracy,1987,5.491028708133971,6.775668896516071,-1.225759715245693,-0.004186602870813397,0.03827751196172249,1672
statcast_team_plus_pitchmix__extra_trees_accuracy,statcast_team_plus_pitchmix,extra_trees_accuracy,658,5.785287081339713,7.143563703946686,-1.474023217309679,-0.07476076555023924,0.03827751196172249,1672
accuracy_core_no_box__extra_trees_accuracy,accuracy_core_no_box,extra_trees_accuracy,949,5.814593301435407,7.162168017974959,-1.4869264243195452,-0.5035885167464115,0.03827751196172249,1672
all_clean__random_forest_accuracy,all_clean,random_forest_accuracy,2032,5.82476076555024,7.6670003741256005,-1.8498689909318915,0.1513157894736842,0.03827751196172249,1672
full_non_market__random_forest_accuracy,full_non_market,random_forest_accuracy,1987,5.8618421052631575,7.663177036755103,-1.8470273857926403,0.2063397129186603,0.03827751196172249,1672
accuracy_core_no_box__random_forest_accuracy,accuracy_core_no_box,random_forest_accuracy,949,6.367224880382775,8.285933777468493,-2.3285634730125206,0.0645933014354067,0.03827751196172249,1672
team_form_plus_elo__random_forest_accuracy,team_form_plus_elo,random_forest_accuracy,143,6.473086124401914,8.128859039391484,-2.2035618428562667,-0.41327751196172247,0.03827751196172249,1672
statcast_team_plus_pitchmix__random_forest_accuracy,statcast_team_plus_pitchmix,random_forest_accuracy,658,6.482655502392345,8.324784291068626,-2.3598501255150945,0.5592105263157895,0.03827751196172249,1672
starter_plus_team__extra_trees_accuracy,starter_plus_team,extra_trees_accuracy,422,6.5849282296650715,8.164868141637985,-2.2320068902195898,-1.0873205741626795,0.03827751196172249,1672
starter_plus_team__random_forest_accuracy,starter_plus_team,random_forest_accuracy,422,6.608851674641149,8.430975015555358,-2.4461131386709414,-0.6363636363636364,0.03827751196172249,1672
market_elo_cluster__random_forest_accuracy,market_elo_cluster,random_forest_accuracy,55,7.22188995215311,8.812677091097898,-2.765213797420552,-0.5436602870813397,0.03827751196172249,1672
team_form_plus_elo__extra_trees_accuracy,team_form_plus_elo,extra_trees_accuracy,143,7.659688995215311,9.185065629706168,-3.0901426463027084,-1.0221291866028708,0.03827751196172249,1672
elo_only__random_forest_accuracy,elo_only,random_forest_accuracy,40,7.932416267942584,9.589698669622663,-3.4584494675146624,-0.28169856459330145,0.03827751196172249,1672
robust_elo_only__random_forest_accuracy,robust_elo_only,random_forest_accuracy,6,8.845693779904305,10.362219747048622,-4.205704631225359,-0.1638755980861244,0.03827751196172249,1672
market_elo_cluster__extra_trees_accuracy,market_elo_cluster,extra_trees_accuracy,55,9.302033492822966,10.811427367488903,-4.666827554995923,-0.5938995215311005,0.03827751196172249,1672
elo_only__extra_trees_accuracy,elo_only,extra_trees_accuracy,40,10.104665071770334,11.63851981742824,-5.567036464722448,-0.5879186602870813,0.03827751196172249,1672
robust_elo_only__extra_trees_accuracy,robust_elo_only,extra_trees_accuracy,6,11.642344497607656,13.091324421906947,-7.3088534271711385,-0.5478468899521531,0.03827751196172249,1672
