target,baseline,log_loss,brier,accuracy,auc,avg_pred,actual_mean,n,mae,rmse,r2
moneyline,train_home_win_rate,0.6911675431445795,0.24901080250334157,0.5316985645933014,0.5,0.5277486910994763,0.5316985645933014,1672,,,
moneyline,elo_home_win_prob,0.6978334309570267,0.25187648418836955,0.5382775119617225,0.5486857246292489,0.5477573664980866,0.5316985645933014,1672,,,
moneyline,robust_elo_home_win_prob,0.6935443440692786,0.24998287920090068,0.5442583732057417,0.5556719203203048,0.5316995746915082,0.5316985645933014,1672,,,
target_total_runs,train_mean,,,,,8.965145848915482,8.990430622009569,1672,3.55122694885715,4.486217318953653,-3.1766641500396986e-05
target_home_margin,train_mean,,,,,-0.0041884816753926715,0.03827751196172249,1672,3.6139019013502343,4.541841985727334,-8.742920063475879e-05
