feature,abs_loading,PC4
home_team_ewm_total_runs_hl15,0.11616062703963681,0.11616062703963681
away_team_ewm_total_runs_hl15,0.10935388847062556,0.10935388847062556
home_team_ewm_total_runs_hl30,0.10537472967357782,0.10537472967357782
away_team_ewm_total_runs_hl30,0.09736655381222958,0.09736655381222958
home_team_ewm_total_runs_hl60,0.08894964409182143,0.08894964409182143
home_team_ewm_runs_against_hl15,0.0877956196227201,0.0877956196227201
home_team_ewm_runs_against_hl30,0.08395144360209486,0.08395144360209486
away_team_ewm_runs_against_hl15,0.0834219822901529,0.0834219822901529
home_box_box_box_bat_hits_season_to_date,0.08210371083666829,0.08210371083666829
home_box_box_box_bat_avg_last20,0.08030181648920968,0.08030181648920968
home_team_ewm_runs_for_hl15,0.08023522623161923,0.08023522623161923
home_box_box_box_bat_avg_last10,0.0802033513411216,0.0802033513411216
away_team_ewm_total_runs_hl60,0.07992832763701252,0.07992832763701252
home_box_box_box_bat_avg_last5,0.07950541208641479,0.07950541208641479
home_box_box_box_bat_avg_last3,0.07924641640820362,0.07924641640820362
home_box_box_box_bat_ops_last10,0.07845694235611757,0.07845694235611757
home_box_box_box_bat_ops_last20,0.07820585147220621,0.07820585147220621
home_box_box_box_bat_ops_last5,0.07736672285954614,0.07736672285954614
away_team_ewm_runs_against_hl30,0.07727825702842553,0.07727825702842553
home_box_box_box_bat_ops_last3,0.07725251246717986,0.07725251246717986
