feature_1,feature_2,abs_corr,family
home_starter_starter_statcast_sc_max_velo_last3,home_starter_starter_statcast_sc_max_velo_last5,0.9919952943644156,elo
away_starter_starter_statcast_sc_max_velo_last10,away_starter_starter_statcast_sc_max_velo_last20,0.9919009324218955,elo
diff_starter_starter_statcast_sc_max_velo_last3,diff_starter_starter_statcast_sc_max_velo_last5,0.9918750276998465,elo
home_starter_starter_statcast_sc_max_velo_last5,home_starter_starter_statcast_sc_max_velo_last10,0.9909915301442308,elo
away_starter_starter_statcast_sc_max_velo_last5,away_starter_starter_statcast_sc_max_velo_last10,0.9907744973807854,elo
diff_starter_starter_statcast_sc_max_velo_last5,diff_starter_starter_statcast_sc_max_velo_last10,0.9905719538972797,elo
home_starter_starter_statcast_sc_max_velo_season_to_date,home_starter_starter_statcast_sc_max_velo_last20,0.9880989497323842,elo
away_starter_starter_statcast_sc_max_velo_season_to_date,away_starter_starter_statcast_sc_max_velo_last20,0.9877805811476293,elo
diff_starter_starter_statcast_sc_max_velo_season_to_date,diff_starter_starter_statcast_sc_max_velo_last20,0.9875733545217864,elo
away_starter_starter_statcast_sc_avg_velo_last10,away_starter_starter_statcast_sc_avg_velo_last20,0.9872200087833479,elo
home_starter_starter_statcast_sc_avg_velo_last10,home_starter_starter_statcast_sc_avg_velo_last20,0.987075195115244,elo
away_starter_starter_statcast_sc_avg_velo_last3,away_starter_starter_statcast_sc_avg_velo_last5,0.9866425244311658,elo
home_starter_starter_statcast_sc_avg_velo_last3,home_starter_starter_statcast_sc_avg_velo_last5,0.9865256654970461,elo
diff_starter_starter_statcast_sc_avg_velo_last10,diff_starter_starter_statcast_sc_avg_velo_last20,0.9864141107343253,elo
diff_starter_starter_statcast_sc_avg_velo_last3,diff_starter_starter_statcast_sc_avg_velo_last5,0.9858337125426875,elo
home_starter_starter_statcast_sc_avg_velo_last5,home_starter_starter_statcast_sc_avg_velo_last10,0.9850554799521583,elo
away_starter_starter_statcast_sc_avg_velo_last5,away_starter_starter_statcast_sc_avg_velo_last10,0.9846573889775352,elo
diff_starter_starter_statcast_sc_avg_velo_last5,diff_starter_starter_statcast_sc_avg_velo_last10,0.983776633976899,elo
home_starter_starter_statcast_sc_max_velo_last3,home_starter_starter_statcast_sc_max_velo_last10,0.9806422832389894,elo
away_starter_starter_statcast_sc_max_velo_last3,away_starter_starter_statcast_sc_max_velo_last10,0.9801543874790812,elo
home_starter_starter_statcast_sc_avg_velo_season_to_date,home_starter_starter_statcast_sc_avg_velo_last20,0.9800700556843236,elo
diff_starter_starter_statcast_sc_avg_extension_last10,diff_starter_starter_statcast_sc_avg_extension_last20,0.9953260608698442,starter
home_starter_starter_statcast_sc_avg_extension_last10,home_starter_starter_statcast_sc_avg_extension_last20,0.9950919362679145,starter
away_starter_starter_statcast_sc_avg_extension_last10,away_starter_starter_statcast_sc_avg_extension_last20,0.9950079473856323,starter
diff_starter_starter_statcast_sc_avg_extension_last3,diff_starter_starter_statcast_sc_avg_extension_last5,0.9949678140957342,starter
away_starter_starter_statcast_sc_avg_extension_last3,away_starter_starter_statcast_sc_avg_extension_last5,0.9948446757427275,starter
home_starter_starter_statcast_sc_avg_extension_last3,home_starter_starter_statcast_sc_avg_extension_last5,0.994762584506567,starter
diff_starter_starter_statcast_sc_avg_extension_last5,diff_starter_starter_statcast_sc_avg_extension_last10,0.9945378306700622,starter
home_starter_starter_statcast_sc_avg_extension_last5,home_starter_starter_statcast_sc_avg_extension_last10,0.9943278862349944,starter
away_starter_starter_statcast_sc_avg_extension_last5,away_starter_starter_statcast_sc_avg_extension_last10,0.9941436522682062,starter
diff_starter_starter_statcast_sc_avg_extension_season_to_date,diff_starter_starter_statcast_sc_avg_extension_last20,0.9922351006376863,starter
away_starter_starter_statcast_sc_avg_extension_season_to_date,away_starter_starter_statcast_sc_avg_extension_last20,0.9919940295883527,starter
home_starter_starter_statcast_sc_avg_extension_season_to_date,home_starter_starter_statcast_sc_avg_extension_last20,0.9917820700090508,starter
away_starter_starter_statcast_sc_avg_spin_last3,away_starter_starter_statcast_sc_avg_spin_last5,0.9915720727340038,starter
away_starter_starter_statcast_sc_avg_spin_last10,away_starter_starter_statcast_sc_avg_spin_last20,0.9914807410359538,starter
home_starter_starter_statcast_sc_avg_spin_last10,home_starter_starter_statcast_sc_avg_spin_last20,0.9914595792568728,starter
diff_starter_starter_statcast_sc_avg_spin_last10,diff_starter_starter_statcast_sc_avg_spin_last20,0.9912662698506336,starter
home_starter_starter_statcast_sc_avg_spin_last3,home_starter_starter_statcast_sc_avg_spin_last5,0.9910972388330407,starter
diff_starter_starter_statcast_sc_avg_spin_last3,diff_starter_starter_statcast_sc_avg_spin_last5,0.991094703651709,starter
home_starter_starter_statcast_sc_avg_spin_last5,home_starter_starter_statcast_sc_avg_spin_last10,0.9901485037305894,starter
away_starter_starter_statcast_sc_avg_spin_last5,away_starter_starter_statcast_sc_avg_spin_last10,0.989884269640183,starter
diff_starter_starter_statcast_sc_avg_spin_last5,diff_starter_starter_statcast_sc_avg_spin_last10,0.9895312686905644,starter
diff_starter_starter_statcast_sc_avg_extension_last3,diff_starter_starter_statcast_sc_avg_extension_last10,0.9880696003201245,starter
home_starter_starter_statcast_sc_avg_extension_last3,home_starter_starter_statcast_sc_avg_extension_last10,0.9875808446732867,starter
diff_starter_starter_statcast_sc_avg_extension_last5,diff_starter_starter_statcast_sc_avg_extension_last20,0.9875267214722748,starter
away_starter_starter_statcast_sc_avg_extension_last3,away_starter_starter_statcast_sc_avg_extension_last10,0.9874658464048831,starter
home_starter_starter_statcast_sc_avg_extension_last5,home_starter_starter_statcast_sc_avg_extension_last20,0.9870052957717522,starter
away_starter_starter_statcast_sc_avg_extension_last5,away_starter_starter_statcast_sc_avg_extension_last20,0.9867819057484212,starter
diff_starter_starter_statcast_sc_avg_extension_season_to_date,diff_starter_starter_statcast_sc_avg_extension_last10,0.985069065919667,starter
away_starter_starter_statcast_sc_avg_extension_season_to_date,away_starter_starter_statcast_sc_avg_extension_last10,0.9844975833374614,starter
diff_starter_starter_statcast_sc_avg_spin_season_to_date,diff_starter_starter_statcast_sc_avg_spin_last20,0.9843449588932316,starter
home_starter_starter_statcast_sc_avg_extension_season_to_date,home_starter_starter_statcast_sc_avg_extension_last10,0.9840245641398858,starter
home_starter_starter_statcast_sc_avg_spin_season_to_date,home_starter_starter_statcast_sc_avg_spin_last20,0.9836375340593754,starter
away_starter_starter_statcast_sc_avg_spin_season_to_date,away_starter_starter_statcast_sc_avg_spin_last20,0.9833610320844237,starter
diff_starter_starter_statcast_sc_avg_extension_last3,diff_starter_starter_statcast_sc_avg_extension_last20,0.9808804816268087,starter
away_starter_starter_statcast_sc_pitchmix_entropy_last10,away_starter_starter_statcast_sc_pitchmix_entropy_last20,0.980302666495164,starter
diff_starter_starter_statcast_sc_pitchmix_entropy_last10,diff_starter_starter_statcast_sc_pitchmix_entropy_last20,0.9801075861566176,starter
home_starter_starter_statcast_sc_avg_extension_last3,home_starter_starter_statcast_sc_avg_extension_last20,0.9800245361974882,starter
