season,week,passer_player_name,passing_yards,predicted_passing_yards,passing_yds_var
2025,2,A.Rodgers,203.0,243.67774458417816,40.67774458417816
2025,1,B.Mayfield,167.0,225.77675252525256,58.77675252525256
2025,2,B.Mayfield,215.0,238.6653975521388,23.665397552138813
2025,1,B.Nix,176.0,224.684227994228,48.684227994227996
2025,2,B.Nix,206.0,242.6903385451184,36.69033854511841
2025,1,B.Purdy,277.0,265.0046283068784,-11.995371693121626
2025,1,B.Young,154.0,162.46402308802303,8.464023088023026
2025,2,B.Young,328.0,223.5841204978531,-104.41587950214691
2025,1,C.Stroud,188.0,203.91873544973552,15.918735449735522
2025,2,C.Stroud,207.0,190.8763716780756,-16.1236283219244
2025,2,C.Ward,175.0,172.06246197553455,-2.9375380244654536
2025,1,C.Williams,210.0,195.9231132756133,-14.076886724386696
2025,2,C.Williams,207.0,226.12993315687663,19.129933156876632
2025,1,D.Maye,287.0,130.86430423280424,-156.13569576719576
2025,2,D.Maye,230.0,188.2983993724598,-41.70160062754019
2025,1,D.Prescott,188.0,245.4248603896104,57.42486038961039
2025,2,D.Prescott,361.0,233.4915621297035,-127.50843787029649
2025,2,G.Smith,180.0,241.29983685819764,61.29983685819764
2025,1,J.Allen,394.0,197.54679304954297,-196.45320695045703
2025,2,J.Allen,148.0,252.2872185851649,104.28721858516491
2025,1,J.Burrow,113.0,278.603441798942,165.60344179894201
2025,2,J.Burrow,76.0,266.00103954585865,190.00103954585865
2025,1,J.Daniels,233.0,229.75602910052908,-3.2439708994709235
2025,2,J.Daniels,200.0,244.7870072394814,44.7870072394814
2025,2,J.Fields,27.0,108.69148618058163,81.69148618058163
2025,1,J.Flacco,290.0,217.5720608465608,-72.42793915343921
2025,2,J.Flacco,199.0,269.1431426763324,70.14314267633239
2025,1,J.Goff,225.0,263.1143918951419,38.11439189514192
2025,2,J.Goff,334.0,234.70142887377492,-99.29857112622508
2025,1,J.Herbert,318.0,290.2002605820106,-27.79973941798937
2025,2,J.Herbert,242.0,252.1573324052148,10.157332405214788
2025,1,J.Hurts,152.0,184.28248424723435,32.28248424723435
2025,2,J.Hurts,101.0,202.29643111093316,101.29643111093316
2025,1,J.Love,188.0,229.4630251322751,41.463025132275106
2025,2,J.Love,292.0,225.8129727292861,-66.18702727071391
2025,2,J.McCarthy,158.0,172.41567809155043,14.415678091550433
2025,1,K.Murray,163.0,229.5021421356421,66.50214213564209
2025,2,K.Murray,220.0,240.0539182735265,20.053918273526506
2025,1,L.Jackson,209.0,220.02855026455035,11.028550264550347
2025,2,L.Jackson,225.0,243.9332708982348,18.93327089823481
2025,1,M.Penix,298.0,199.07397390572396,-98.92602609427604
2025,2,M.Penix,135.0,232.52504349523343,97.52504349523343
2025,1,M.Stafford,245.0,259.69332696007694,14.693326960076945
2025,2,M.Stafford,298.0,242.47040646195748,-55.52959353804252
2025,1,P.Mahomes,258.0,272.19213852813857,14.192138528138571
2025,2,P.Mahomes,187.0,255.88954714592123,68.88954714592123
2025,2,R.Wilson,450.0,233.8552636,-216.1447364
2025,1,S.Rattler,214.0,179.8585548340548,-34.141445165945214
2025,2,S.Rattler,206.0,178.15588019808675,-27.84411980191325
2025,1,T.Lawrence,178.0,217.0316917989419,39.03169179894189
2025,2,T.Lawrence,294.0,197.0696790338192,-96.9303209661808
2025,1,T.Tagovailoa,114.0,241.88061507936493,127.88061507936493
2025,2,T.Tagovailoa,315.0,254.0909003770364,-60.909099622963595
