,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,odds,passer_player_name_A.Rodgers,passer_player_name_B.Mayfield,passer_player_name_B.Nix,passer_player_name_B.Young,passer_player_name_C.Stroud,passer_player_name_C.Ward,passer_player_name_C.Wentz,passer_player_name_C.Williams,passer_player_name_D.Gabriel,passer_player_name_D.Jones,passer_player_name_D.Maye,passer_player_name_D.Mills,passer_player_name_D.Prescott,passer_player_name_G.Smith,passer_player_name_J.Allen,passer_player_name_J.Brissett,passer_player_name_J.Daniels,passer_player_name_J.Dart,passer_player_name_J.Fields,passer_player_name_J.Flacco,passer_player_name_J.Goff,passer_player_name_J.Herbert,passer_player_name_J.Hurts,passer_player_name_J.Love,passer_player_name_J.McCarthy,passer_player_name_K.Murray,passer_player_name_L.Jackson,passer_player_name_M.Mariota,passer_player_name_M.Penix,passer_player_name_M.Stafford,passer_player_name_P.Mahomes,passer_player_name_S.Darnold,passer_player_name_S.Rattler,passer_player_name_T.Lawrence,passer_player_name_T.Shough,passer_player_name_T.Tagovailoa,posteam_ATL,posteam_BAL,posteam_BUF,posteam_CAR,posteam_CHI,posteam_CIN,posteam_CLE,posteam_DAL,posteam_DEN,posteam_DET,posteam_GB,posteam_HOU,posteam_IND,posteam_JAX,posteam_KC,posteam_LA,posteam_LAC,posteam_LV,posteam_MIA,posteam_MIN,posteam_NE,posteam_NO,posteam_NYG,posteam_NYJ,posteam_PHI,posteam_PIT,posteam_SEA,posteam_TB,posteam_TEN,posteam_WAS,defteam_ATL,defteam_BAL,defteam_BUF,defteam_CAR,defteam_CHI,defteam_CIN,defteam_CLE,defteam_DAL,defteam_DEN,defteam_DET,defteam_GB,defteam_HOU,defteam_IND,defteam_JAX,defteam_KC,defteam_LA,defteam_LAC,defteam_LV,defteam_MIA,defteam_MIN,defteam_NE,defteam_NO,defteam_NYG,defteam_NYJ,defteam_PHI,defteam_PIT,defteam_SEA,defteam_SF,defteam_TB,defteam_TEN,defteam_WAS,roof_dome,roof_outdoors,surface_a_turf,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
251,True,0.687207666599915,33.549773533852274,234.50326464186975,82.34603243073667,-1.1887497411438332,0.19217270249602947,3.6152428383757185,1.6893198172584851,1.1858198858845903,196.15662437991415,2.108617751421325,1088.3143467775142,False,0.6923443143873177,30.768014054092895,243.60237528205943,114.02039011566688,5.217379622737019,0.628266253181251,3.959227174955629,1.509060310899728,1.8056551815015103,229.4022839305048,4.401429254961411,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21,True,0.6588652364152184,32.86923240008182,285.52556938164815,123.99583587061187,-0.34328309801395673,0.2880909329495349,3.238484857116973,2.3201250045530917,1.3312751295646499,236.13213650449563,-1.6575971006260952,1150.606174622981,False,0.6818400595039763,32.029980206878186,242.96039780244465,99.74754316978965,-1.5069645408974812,0.7007755540688606,3.805921009144449,1.8145580697912105,1.7738476638092622,219.83159516891206,3.50063097830864,-118.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,True,0.6211432275325723,31.982735668034305,267.93076363055604,130.3070660599925,5.0602625844226825,0.5086354874049805,3.945026716142042,1.6538863557613193,1.4350631035181625,246.67165700321564,-1.86304935058622,1123.3331131777218,False,0.6963388450929625,32.27273431058881,252.23139384999513,107.37605261044357,4.449284828478274,0.3686307447115489,4.508970525426322,2.2896423545968636,1.8931052306135912,242.55721147054984,3.3395114330917304,-115.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,True,0.6789864748716354,29.349999999999998,237.54999999999998,105.60000000000001,-12.02105293273926,1.1,5.8999999999999995,2.8000000000000003,1.55,161.05,-1.0888268068432807,1254.5,False,0.6189138364286922,34.7821279225228,287.094879604558,107.19275178207312,-3.101534234884393,0.8326078193503784,5.448981892819724,2.1265797638570145,1.424250118353286,229.13732625268173,-3.7638766813778735,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
149,False,0.6347907992553101,29.003036802890044,248.61515982324298,94.53815759765185,1.1458415055366862,0.4066590329968067,5.120601232138825,3.1545737509273293,1.723871883366126,201.65210947327677,-1.195453918692352,1060.8123810598975,True,0.7346371873105643,29.77036686319929,265.54193513857075,106.00009115899798,3.34343023796416,1.3981616762794078,4.535102035285325,2.342164393285092,2.227917389619463,264.3100922907938,4.98766487543274,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,True,0.6164563140123493,33.899340747323485,273.8261172119948,98.18305726808885,-10.04907691726376,0.8759128365435356,6.637814723718387,4.217546028256255,0.7176038291735976,220.69579862865544,-4.384183693873578,1105.774798566547,False,0.6507203541995052,30.27596206679141,227.47440217550468,113.73078274210691,-1.073242827897843,0.8674103897748869,5.406636668292946,2.747763338693097,1.21102984349913,208.06460629105376,-2.7933421459330154,-115.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
91,False,0.7234659878726788,29.9560455836877,260.06425980502496,115.22287576083333,9.801337628160299,0.3561978670982842,4.632866727032104,1.348939795050159,1.9180528807762394,256.6772493207721,5.985717261783231,1016.08369579836,True,0.7069724431444312,38.446547666519315,253.14214129192027,147.8381698002094,7.006188175166238,0.5781992305416084,7.315094651862121,2.7283837898205485,1.987850049198895,291.3126162159098,5.016585499486483,-115.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
12,False,0.7079401878300094,31.144288905119176,180.5656548606941,130.75652958902626,1.3314830776251114,0.5245032576788478,3.7163326526266447,1.8729373443192827,2.0185682907739886,213.6163422141195,3.3559717677400744,1030.901207550007,True,0.6363036710674896,28.589423509192972,219.38814723450383,108.50700406172385,-1.185869654183152,0.7096994098158165,5.332702728603319,2.975442731657989,0.9908425992265607,196.59831423813486,-4.428127445405157,-115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,False,0.7228567390773243,28.645261857610635,215.0466069292759,121.09086096351051,6.513306127249293,0.5219505499892159,3.8771788788455126,1.6619281974863238,1.8777082802297993,236.60796847120645,4.98493933521068,1236.1281935648321,True,0.6531194160851733,28.768424577276853,255.06669100178405,78.41763033179998,0.36685721600687315,0.7550041455432026,4.558493322734577,2.465493122160253,1.6961477683156216,191.64687011719943,-0.7357092238048639,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,True,0.602341957337571,27.600635281661145,259.70786847316725,99.98998058861591,0.9478018743982829,0.5493421697613772,5.86464971275073,3.559675300484304,1.6269877061234095,205.38958059645887,-2.9257883038405765,1080.3950902923473,False,0.6911379864498839,33.68813563902663,287.00134062143485,104.81902943611699,5.97859563277397,0.23709106410610808,2.799492937820811,1.1159890221090116,1.755894138188491,249.0555582002784,2.5979230057009732,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
88,True,0.7232681047466367,30.23760718194704,260.67219764799205,116.76104640020587,8.611095764187715,0.4611004391805825,4.524743607303545,0.8626919026275619,1.5994124672661598,252.16460029588822,3.8044803502189906,1027.2995901443683,False,0.7629444404794266,26.954571318076802,176.07661663200824,100.98828398859737,4.930395551412112,0.5095683845609442,4.568056155865663,2.109626051365727,1.3754475551803864,214.3396918498261,7.6937868506343845,-115.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
79,False,0.581066940761576,24.073645614791868,141.25626948491205,70.94523636791436,-3.1922746425151725,0.0,4.960902727397501,2.36775749495108,0.5129899413736985,124.16548695123626,-7.9232106550165575,1056.5225975961257,True,0.7156422319573228,30.46453833373161,237.03960659377532,115.05497189561171,1.14257081464167,0.60239311163373,4.15452397662319,2.2168089684535373,1.3905625595175397,233.69904957331315,5.133029809104382,-115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,True,0.6359206984429773,32.432324856375374,225.39556087135549,89.17832983666987,-4.3533103498827534,0.7015940863904628,5.741083508166507,1.8886100272543673,1.4093645222642692,186.70839787455148,0.18680226650778728,1240.5760671359385,False,0.7217701949542892,34.882136319581136,282.2506625693844,136.8333026778382,8.241086715136156,0.36481832462006786,6.179731067900605,2.732563418616124,2.281431212603922,282.67456225176426,8.523034209293309,-115.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
245,False,0.7607960784024592,26.74371090762926,231.98384345404992,91.23207388090431,11.470473293117378,0.6015372247602989,3.1782710142938373,1.1477422011333112,2.0819787847297113,262.30607242995234,13.164973051701663,1021.6769082959157,True,0.6550059690629196,36.210735252875544,318.14538599633175,117.13601667342907,-1.0333217671522874,1.3160400971641286,4.582278064086184,1.559309345619877,1.4666851095453146,266.01180307788786,-1.3972320648450371,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77,False,0.5077865448504982,13.999999999999998,89.56478405315615,45.17275747508306,-0.36959854748557974,0.0,1.2059800664451827,0.8039867109634552,1.0730897009966778,81.49169435215947,-11.692063589824793,1034.2192691029902,True,0.72752092183957,33.591707742300684,236.47488348360199,119.62771468323554,4.342525431789849,1.0556696513729507,7.004651552302446,3.104909223938479,1.8186946714454444,270.36912508007674,6.499089936438766,-115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
126,False,0.6974399637892197,27.43872689739703,233.73538851078928,101.32743605457536,2.959836685177249,0.9058510466729026,4.428548850111279,2.2692062058510465,1.9094716640325131,221.90492371705963,1.6407303481226099,1168.0444473115504,True,0.664165135708421,31.31285164469283,255.84557657914672,99.85969444007385,3.702700716913575,0.7877493510332545,3.862744734436736,2.1470455553329995,1.6882653663655587,223.9203729306146,2.0130722464069106,-115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
