,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,odds,passer_player_name_A.Rodgers,passer_player_name_B.Mayfield,passer_player_name_B.Nix,passer_player_name_B.Purdy,passer_player_name_B.Young,passer_player_name_C.Oladokun,passer_player_name_C.Stroud,passer_player_name_C.Ward,passer_player_name_C.Wentz,passer_player_name_C.Williams,passer_player_name_D.Gabriel,passer_player_name_D.Jones,passer_player_name_D.Maye,passer_player_name_D.Mills,passer_player_name_D.Prescott,passer_player_name_G.Smith,passer_player_name_J.Allen,passer_player_name_J.Brissett,passer_player_name_J.Burrow,passer_player_name_J.Dart,passer_player_name_J.Flacco,passer_player_name_J.Goff,passer_player_name_J.Herbert,passer_player_name_J.Hurts,passer_player_name_J.Love,passer_player_name_J.McCarthy,passer_player_name_K.Cousins,passer_player_name_L.Jackson,passer_player_name_M.Brosmer,passer_player_name_M.Mariota,passer_player_name_M.Penix,passer_player_name_M.Stafford,passer_player_name_P.Mahomes,passer_player_name_Q.Ewers,passer_player_name_R.Leonard,passer_player_name_S.Darnold,passer_player_name_S.Rattler,passer_player_name_S.Sanders,passer_player_name_T.Lawrence,passer_player_name_T.Shough,passer_player_name_T.Tagovailoa,passer_player_name_T.Taylor,posteam_ATL,posteam_BAL,posteam_BUF,posteam_CAR,posteam_CHI,posteam_CIN,posteam_CLE,posteam_DAL,posteam_DEN,posteam_DET,posteam_GB,posteam_HOU,posteam_IND,posteam_JAX,posteam_KC,posteam_LA,posteam_LAC,posteam_LV,posteam_MIA,posteam_MIN,posteam_NE,posteam_NO,posteam_NYG,posteam_NYJ,posteam_PHI,posteam_PIT,posteam_SEA,posteam_SF,posteam_TB,posteam_TEN,posteam_WAS,defteam_ATL,defteam_BAL,defteam_BUF,defteam_CAR,defteam_CHI,defteam_CIN,defteam_CLE,defteam_DAL,defteam_DEN,defteam_DET,defteam_GB,defteam_HOU,defteam_IND,defteam_JAX,defteam_KC,defteam_LA,defteam_LAC,defteam_LV,defteam_MIA,defteam_MIN,defteam_NE,defteam_NO,defteam_NYG,defteam_NYJ,defteam_PHI,defteam_PIT,defteam_SEA,defteam_SF,defteam_TB,defteam_TEN,defteam_WAS,roof_dome,roof_outdoors,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
528,True,0.6314077439516366,29.295735929708925,265.0920348359455,88.67870888958312,-2.0726334886524613,0.9806886511125593,4.835577241168439,2.8984729768897126,1.5180327500271928,218.49811198427113,-2.829182084534288,1169.7244168213863,False,0.6411852199628728,36.660513720278374,303.7290029291853,127.75440191078073,1.3027445542168015,0.8887583408443318,6.119874682034524,2.889993106946642,1.009570469649663,270.92405617821805,-0.8942836588799099,-110.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
162,True,0.7126850051881718,33.44664861825135,297.4714601062381,107.7771755997307,4.122520033784679,0.9313966932997458,4.930307085403027,2.1432827294712986,1.7183167005070354,275.2404940614466,4.328999093189919,1152.6963101217823,False,0.676762762468757,27.43211759076447,230.336763851501,93.99180879803775,0.6926312965493185,0.841034232559863,4.515557317487241,2.8645652875140653,1.9179308454285091,199.89393584667695,0.33040244764467475,-115.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
144,False,0.5077865448504982,13.999999999999998,89.56478405315615,45.17275747508306,-0.36959854748557974,0.0,1.2059800664451827,0.8039867109634552,1.0730897009966778,81.49169435215947,-11.692063589824793,1034.2192691029902,True,0.7274510449632324,33.579049760916405,236.41885171224533,119.59172023060037,4.335911990869377,1.0556696513729507,6.998652476863252,3.104909223938479,1.8186946714454444,270.2731398730496,6.490585683288859,-115.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
308,False,0.7028828141372077,32.2123419289997,202.6102054846266,155.96168860279235,5.257876143188363,0.34767320172191946,6.8222991181339205,2.1589762640135532,1.7854370593882507,270.4768128089983,2.1381749512479082,1074.9995001547816,True,0.661569618666152,34.26956556208053,281.0505352968187,108.45045454320925,-4.289620663862435,1.1364294959097692,5.914527012142509,2.6007502470405437,1.592832393292768,229.29247059233614,-2.2041332912633744,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
133,True,0.6211432275325723,31.982735668034305,267.93076363055604,130.3070660599925,5.0602625844226825,0.5086354874049805,3.945026716142042,1.6538863557613193,1.4350631035181625,246.67165700321564,-1.86304935058622,1123.3331131777218,False,0.6963388450929625,32.27273431058881,252.23139384999513,107.37605261044357,4.449284828478274,0.3686307447115489,4.508970525426322,2.2896423545968636,1.8931052306135912,242.55721147054984,3.3395114330917304,-115.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
551,False,0.6923342829630025,27.46292590376547,200.8386953606867,85.0060815268996,-2.589811936976554,1.6552223643282378,3.0752002726839587,2.01871832283044,1.4099508426230816,180.99990451708973,0.04603550645763222,1131.9661362105878,True,0.6538237426384722,27.373904055339512,237.44133859298296,77.37047980941442,-0.46285063886442046,0.9847548412314002,4.6713880915550146,2.427313577644467,1.4329584234178956,182.70575601787547,-1.4563041697617893,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
156,True,0.7221417995750272,29.487225740671754,248.6820650575479,106.55553812670338,8.172649638741294,0.4697554949902943,3.8033175820081957,0.7556322425050489,1.2870728024940687,250.88947275543615,3.233525145710905,1038.9558440030587,False,0.6563468035491399,36.13222724051229,296.7785420811706,103.1671171610445,2.588899366961667,0.628335385836693,4.686361835709225,2.0951614732790738,1.0177377478187521,253.30859938801666,-0.23196979637693277,-115.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
131,False,0.630834819204998,31.38863829536618,262.90376329160875,120.08977297781955,2.4174006515179207,0.6584319230652572,3.3398238136282408,1.5519536524321418,0.9741790815985797,236.85624476595197,-2.1471853432789425,1063.6464062449631,True,0.7098106824319727,31.523846727311454,232.1754624111911,143.85092563180237,8.740186470985696,0.9136383660120619,3.742621560701413,1.4030046352993635,2.334639002770391,253.02602836110347,3.8577113250033763,-118.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
239,False,0.5488515501860345,29.580940594059406,253.66287128712878,96.9769801980198,3.8284150961011942,0.22054455445544557,9.235643564356437,3.705693069306931,1.6391089108910892,231.76782178217823,-7.3727270763699355,1415.80198019802,True,0.6800864447959996,35.202708333811685,259.83124129574907,123.44924947776603,0.1999825314387175,0.9203881575405019,6.728099490133972,3.555130851316512,1.2866325271986174,233.88635904606764,0.6175118914132353,-115.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
54,True,0.6655471294872786,36.02257380074984,278.16870004890654,123.01750268672569,7.134927565865176,0.5038013543406838,3.9706325530528472,1.2281826466732428,1.6695271898868675,249.9654855684457,1.8480874093347863,1248.4835105691645,False,0.6611083785663873,35.56744332913982,275.31129218158407,90.9355441740934,-6.707239186734596,1.2618891900545284,5.867703569986551,2.436410670648047,1.170034106727376,218.1960359307254,-0.28577309440151055,-115.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
