confidence_threshold,games_picked,coverage,accuracy,estimated_correct,avg_confidence,accuracy_ci_low,accuracy_ci_high
0.518987,1003,1.0,0.53938185443669,541,0.6021426811212556,0.5084428948738813,0.5700203023930768
0.533101,932,0.9292123629112662,0.5429184549356223,506,0.6084774762862624,0.5108256022801992,0.574658962702434
0.5625,676,0.6739780658025922,0.5399408284023669,365,0.637022396897896,0.5022495948071526,0.5771806889735287
0.574599,664,0.6620139581256231,0.5406626506024096,359,0.6383509658820968,0.5026325007916842,0.5782250130490344
0.57808,663,0.6610169491525424,0.5414781297134238,359,0.6384418730567791,0.503419672998908,0.5790587021418145
0.586757,662,0.6600199401794616,0.5422960725075529,359,0.6385199472681666,0.5042093405102565,0.5798947645407934
0.609302,662,0.6600199401794616,0.5422960725075529,359,0.6385199472681666,0.5042093405102565,0.5798947645407934
0.611374,465,0.46360917248255235,0.5526881720430108,257,0.6508981654881536,0.5072473695979883,0.5972655719905239
0.621951,201,0.20039880358923232,0.582089552238806,117,0.7028099669158989,0.5129902845207969,0.6481099155558204
0.657249,106,0.10568295114656032,0.6509433962264151,69,0.7749447179553156,0.5563658870548236,0.7349630914890337
0.735294,106,0.10568295114656032,0.6509433962264151,69,0.7749447179553156,0.5563658870548236,0.7349630914890337
0.736696,43,0.04287138584247258,0.7441860465116279,32,0.8330048575047846,0.5976159650115332,0.8507048287619176
0.799884,42,0.04187437686939183,0.7380952380952381,31,0.8337934541883213,0.5893126929422804,0.8469735971216702
0.818182,25,0.024925224327018942,0.8,20,0.8444093666727431,0.6086904963045967,0.9113941531319742
0.826087,3,0.0029910269192422734,1.0,3,0.9787737077801056,0.4385029682449546,1.0
0.938321,3,0.0029910269192422734,1.0,3,0.9787737077801056,0.4385029682449546,1.0
0.999,2,0.0019940179461615153,1.0,2,0.999,0.34238022750665303,1.0
